worker,index,start_time_iso,latency_ms,status,tx_hash,gas_used,block_number,error
w0,10,2025-11-26T13:47:41.397808Z,77.729,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c0843b9aca00843b9aca1083020b7d949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c080a0a19e9eaf8b13595e5e01a1bdbd94354a2d1907c11fc975763a704e4ef2212c2ca03102c2450f856a16cddd37fbce9950263b240969ac462be2a11745fbb4a07ffd"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1217 but got 1216. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1217 but got 1216. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,11,2025-11-26T13:47:41.475608Z,137.748,200,0xd7ace85c674200579c1ced8c2aea331b8b072015e95d5cd55fed3912f201e24f,114232,1218,
w0,12,2025-11-26T13:47:41.613405Z,80.051,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c1843b9aca00843b9aca108301be2c949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000692704fd00000000000000000000000000000000000000000000000000000000694e91fd0000000000000000000000000000000000000000000000000000000000000001c001a0bf2cf77fb42a744a4e7d0dc20dee7ce0b809dbfa411d3a3f53969bd5551ce61aa008a5af3efac4011d9f7d4a2b52ca9725e39ef59a9746fd9df1c247794811ea4b"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1218 but got 1217. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1218 but got 1217. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,13,2025-11-26T13:47:41.693520Z,76.553,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c1843b9aca00843b9aca108301bda9949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c080a0a91bd85a1acf044735e7014ce75ce40495955e88dc62d7ed3a1c807aeea72da9a052d03950685158d2d88ee8f8029ab0d1da13764bae0bbe0a81510a7b04ab4307"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1218 but got 1217. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1218 but got 1217. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,14,2025-11-26T13:47:41.770154Z,154.658,200,0x520f67c4b28d9183bd9326d0e41df809a89e4b13a815b35b33622e4357e6ec3c,134144,1219,
w0,15,2025-11-26T13:47:41.924861Z,109.829,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c2843b9aca00843b9aca1083020b71949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c001a0144f2361ef372a19722d99fe26c153630ca5dc5fd7c50afe0729e2d45a1663f0a0589c998a824fe8bd67166d13bd240114bb60cff21753b8b5257a9ae0ae528faa"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1219 but got 1218. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1219 but got 1218. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,16,2025-11-26T13:47:42.034755Z,106.128,200,0x08a5592c0bd8e7a31abe790d0c4d5b2a4e59fe9486cc73f53c60bdfd76e252cd,134013,1220,
w0,17,2025-11-26T13:47:42.140932Z,127.907,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c3843b9aca00843b9aca1083020bf4949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000692704fe00000000000000000000000000000000000000000000000000000000694e91fe0000000000000000000000000000000000000000000000000000000000000001c080a0696053e7758b173a6ab97dacf0d343369b8dce76d009e1003d0bcbda9b85c407a065eacd8fd4a57970312308d648dafe4fcd6d5f206b12e10fde3329f23698ffb8"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1220 but got 1219. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1220 but got 1219. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,18,2025-11-26T13:47:42.268986Z,93.940,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c3843b9aca00843b9aca1083020b7d949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c080a08889f8a2b1bff08de253b00def5a5f4cc5906ae395300824043f734741e869eca033268367ddf8edfe360f5aad603f320ac0f270e2379ef879e83820c0fbfbe087"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1220 but got 1219. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1220 but got 1219. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,19,2025-11-26T13:47:42.363014Z,121.894,200,0xa0eaf4186339d0298b1daba5bfe8551f15c7529fd55a7c3943420f5e34d922de,134144,1221,
w0,20,2025-11-26T13:47:42.484960Z,94.397,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c4843b9aca00843b9aca108301be2c949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000692704fe00000000000000000000000000000000000000000000000000000000694e91fe0000000000000000000000000000000000000000000000000000000000000001c001a0d36d6c42cf52cc9811b32c47ac903ff4783d738f2e27189ae82c6f33f49ee12aa04ce6471c7db9af5954ea93137ef6f014dd3a7b043cd2d48893c694e542e49069"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1221 but got 1220. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1221 but got 1220. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,21,2025-11-26T13:47:42.579418Z,81.855,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c4843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000692704fe00000000000000000000000000000000000000000000000000000000694e91fe0000000000000000000000000000000000000000000000000000000000000001c080a09a78bd7f62ddd42cf8cc8065c2d72be06a675308e7f6538bf783c276bb6ffb24a02aa8a6cdac1457ae1b98277339fa28535b19286e4034e2099053320b58fad8c1"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1221 but got 1220. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1221 but got 1220. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,22,2025-11-26T13:47:42.661335Z,136.206,200,0xf1be84d2e7ddab25ff9d291d0edb8ef07cca7648e56a7084475e98d7e41868dc,134013,1222,
w0,23,2025-11-26T13:47:42.797593Z,94.888,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c5843b9aca00843b9aca1083020bf4949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000692704fe00000000000000000000000000000000000000000000000000000000694e91fe0000000000000000000000000000000000000000000000000000000000000001c080a061eaf4add9d007b29beece01a46f73a141243245b15e63d741a2af42d374b164a01063a2f56ab802073e3d47d35176a90ebd29c18966df8a0ca1ef31b7c5fa7941"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1222 but got 1221. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1222 but got 1221. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,24,2025-11-26T13:47:42.892540Z,84.781,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c5843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000692704fe00000000000000000000000000000000000000000000000000000000694e91fe0000000000000000000000000000000000000000000000000000000000000001c080a0ddcf43414fa8742df754996d185cfdba9b2d4e08c1464a0c3e6e8d99ec70ef42a03bb7ec858888a98e7c306be19b7e582182171eedeebf6798031bf7445f74621b"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1222 but got 1221. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1222 but got 1221. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,25,2025-11-26T13:47:42.977379Z,103.058,200,0x2ebc3b60d688169c172121876939a36bbbb0cb1d3e17abb0d6ca8f70f5cd4ad4,114101,1223,
w0,26,2025-11-26T13:47:43.080486Z,95.667,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c6843b9aca00843b9aca108301bdb5949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c001a0922cf952c82864da3bd5a74a0eaee289587634797dae15abe4e1d0dd16d94de7a00cdeb5f0c8f32ff17de213224d64dd909f58d53bd105df30804ab6db3a1d2362"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1223 but got 1222. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1223 but got 1222. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,27,2025-11-26T13:47:43.176212Z,91.994,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c6843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000692704ff00000000000000000000000000000000000000000000000000000000694e91ff0000000000000000000000000000000000000000000000000000000000000001c001a050c3fac5481c6694852bb1c59067b8abf42b25f4bb35497c81fcbeb90f274d44a003083ea7b4f53ad0cfebc71526fed6e7040678dac3bab028d3073284a888e9a7"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1223 but got 1222. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1223 but got 1222. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,28,2025-11-26T13:47:43.268275Z,93.354,200,0xb94d82aa1642783cc2c180cb958359f4cac16a7915a2758d67f58e3f9cd5c5a7,134132,1224,
w0,29,2025-11-26T13:47:43.361680Z,95.321,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c7843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000692704ff00000000000000000000000000000000000000000000000000000000694e91ff0000000000000000000000000000000000000000000000000000000000000001c080a0e9787126ef6f247fd3295faa60dc66f1ccc8efda7bb9ea25413cc7e9ca7da93fa046642ef7c81514b17339b6d153633763b12b044bf73aa9a821c6c854aa5bd327"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1224 but got 1223. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1224 but got 1223. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,30,2025-11-26T13:47:43.457061Z,91.480,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c7843b9aca00843b9aca1083020b7d949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c001a0d2e69d57c5c65c8c0c6fd2c46500cc416d33e604e776eb9aaeb481e3e51757b7a02faefc765c49c23ef476141e75e811bd42fe1bc456534cb53aad40ba0f9334bc"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1224 but got 1223. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1224 but got 1223. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,31,2025-11-26T13:47:43.548599Z,110.013,200,0x517265a119963b06e074e63a68fe1baee4e534ed9f5d8e4cacb685157d9791d2,134013,1225,
w0,32,2025-11-26T13:47:43.658675Z,108.190,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c8843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000692704ff00000000000000000000000000000000000000000000000000000000694e91ff0000000000000000000000000000000000000000000000000000000000000001c080a0faea2600bacd2f245e2f608f6f26e62ebb089ebebef4502a40e282ee69c54a93a0467034c574a67f61f642e7e77ca0069574b4d79651acb75343f566c21869f3f1"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1225 but got 1224. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1225 but got 1224. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
