worker,index,status,latency_ms,tx_hash,gas_used,policy_id,error
w1,11,500,239.315,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (2, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 9, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 4, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 256 but got 255. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w3,8,200,280.727,0xd145837291c5a6e22d1c5a95cbfcfa0609b1786734b4925203759e96bfbf6e63,134001,13,
w0,12,200,239.892,0x0ae39a813b34543f179ff0254f5efe1168cbc9725eff524b6d4bc859b4717be2,114089,14,
w2,13,500,1570.749,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (6, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 9, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 257 but got 256. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w1,14,500,1569.855,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (6, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 7, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 257 but got 256. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w3,15,500,1571.997,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (6, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 4, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 4, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 257 but got 256. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w2,17,500,164.656,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (8, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 10, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 258 but got 257. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w1,18,500,165.327,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (4, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 5, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 258 but got 257. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w0,16,200,1540.312,0x2e5839183fc70bf6a472e891ffdea4f3025f90d0227d2f272e5bbb5207f9bc73,134001,15,
w3,19,500,185.695,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (4, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 6, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 258 but got 257. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w1,21,500,180.373,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (4, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 2, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 259 but got 258. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w0,22,500,186.508,,,,"{""error"": ""Internal error"", ""details"": ""Nonce provided for the transaction is lower than the current nonce of the account.\nTry increasing the nonce or find the latest nonce with `getTransactionCount`.\n\nRequest Arguments:\n  from:  0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n  to:    0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  data:  0x40d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001\n \nContract Call:\n  address:   0x9fE46736679d2D9a65F0992F2272dE9f3c7fa6e0\n  function:  createPolicy(uint8 role, bytes32 orgId, bytes32 jurisdiction, uint8 rType, bytes32 caseId, uint8 action, uint8 maxSensitivity, uint64 notBefore, uint64 notAfter, bool allow)\n  args:                  (6, 0x0000000000000000000000000000000000000000000000000000000000000000, 0x0000000000000000000000000000000000000000000000000000000000000000, 2, 0x0000000000000000000000000000000000000000000000000000000000000000, 0, 3, 0, 0, true)\n  sender:    0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266\n\nDocs: https://viem.sh/docs/contract/writeContract\nDetails: Nonce too low. Expected nonce to be 259 but got 258. Note that transactions can't be queued when automining.\nVersion: viem@2.40.3""}"
w2,20,200,215.413,0x89ad15273e3f616a9baa6e02468ac1b4fd0b0180fa3b8be8be519d972190547f,134001,16,
